"id","price","type","rooms","neighborhood","suites","bathrooms","garages","private_area","total_area"
392,350000,"Casa",2,"Jardim Parizzotto",0,1,1,109.64,311.66
393,1047375,"Apartamento",2,"Vila Industrial",2,3,2,120,0
394,1047375,"Apartamento",3,"Vila Industrial",1,3,2,120,0
395,1089375,"Apartamento",2,"Vila Industrial",2,3,2,120,0
396,1068375,"Apartamento",2,"Vila Industrial",2,3,2,120,0
397,1089375,"Apartamento",3,"Vila Industrial",1,3,2,120,0
398,342125,"Apartamento",2,"Jardim Pancera",1,2,1,69.65,0
399,1068375,"Apartamento",3,"Vila Industrial",1,3,2,120,0
400,345000,"Apartamento",2,"Jardim Pancera",1,2,1,69.65,0
401,362250,"Apartamento",2,"Jardim Pancera",1,2,1,69.65,0
402,350750,"Apartamento",2,"Jardim Pancera",1,2,1,66.96,0
403,350750,"Apartamento",2,"Jardim Pancera",1,2,1,69.65,0
404,350750,"Apartamento",2,"Jardim Pancera",1,2,1,67,0
405,345000,"Apartamento",2,"Jardim Pancera",1,2,1,66.96,0
406,350750,"Apartamento",2,"Jardim Pancera",1,2,1,69.65,0
407,345000,"Apartamento",2,"Jardim Pancera",1,2,1,69.65,0
408,356500,"Apartamento",2,"Jardim Pancera",1,2,1,69.65,0
409,356500,"Apartamento",2,"Jardim Pancera",1,2,1,66.96,0
410,362250,"Apartamento",2,"Jardim Pancera",1,2,1,69.65,0
411,362250,"Apartamento",2,"Jardim Pancera",1,2,1,67,0
412,356500,"Apartamento",2,"Jardim Pancera",1,2,1,69.65,0
413,379500,"Apartamento",2,"Jardim Pancera",1,2,2,66.96,0
414,356500,"Apartamento",2,"Jardim Pancera",1,2,1,67,0
415,210000,"Apartamento",2,"Jardim Coopagro",0,1,1,54.5,0
416,342125,"Apartamento",2,"Jardim Pancera",1,2,1,69.65,0
417,255000,"Casa",2,"São Francisco",0,1,1,55,127
418,925000,"Casa",4,"Jardim La Salle",1,2,4,176.26,416
419,393612,"Apartamento",2,"Centro",1,2,1,74.4,0
420,275000,"Apartamento",2,"Jardim Concórdia",0,1,1,56.89,0
421,265000,"Casa",2,"São Francisco",1,2,1,59,127
422,388217,"Apartamento",2,"Centro",1,2,1,74.4,0
423,370000,"Casa",3,"Jardim Tocantins",2,3,1,120,288
424,470000,"Apartamento",3,"Centro",1,2,1,122,0
425,342125,"Apartamento",2,"Jardim Pancera",1,2,1,66.96,0
426,339250,"Apartamento",2,"Jardim Pancera",1,2,1,69.65,0
427,339250,"Apartamento",2,"Jardim Pancera",1,2,1,69.65,0
428,339250,"Apartamento",2,"Jardim Pancera",1,2,1,67,0
429,635000,"Apartamento",3,"Jardim La Salle",1,2,2,120,0
430,342125,"Apartamento",2,"Jardim Pancera",1,2,1,67,0
431,290000,"Casa",3,"Vila Pioneiro",0,1,1,135,291
432,330000,"Casa",2,"Jardim Panorama",0,1,1,58.07,250
433,499000,"Apartamento",2,"Vila Industrial",2,4,2,80.44,0
434,870000,"Apartamento",3,"Jardim La Salle",1,2,2,110,0
435,520000,"Apartamento",2,"Vila Becker",1,2,1,61.9,0
436,230000,"Casa",2,"Jardim Europa",0,1,2,61.8,149
437,420000,"Apartamento",2,"Jardim La Salle",0,1,2,78.53,0
438,395000,"Casa",6,"Jardim Pancera",0,2,4,185.46,514.85
439,290000,"Apartamento",2,"Jardim Coopagro",0,1,1,75.52,0
440,298000,"Casa",4,"Jardim Europa",2,3,3,140,250
441,545000,"Apartamento",3,"Jardim La Salle",1,2,2,105,0
442,1350000,"Casa",3,"Jardim Tocantins",1,3,2,200,141
443,565000,"Apartamento",3,"Jardim La Salle",1,2,2,105,0
444,565000,"Apartamento",3,"Jardim La Salle",1,2,2,105,0
445,615000,"Apartamento",3,"Jardim La Salle",1,2,2,120,0
446,545000,"Apartamento",3,"Jardim La Salle",1,2,2,105,0
447,349000,"Apartamento",2,"Jardim Gisela",1,2,1,70,0
448,429000,"Apartamento",2,"Vila Industrial",1,2,1,68,0
449,185000,"Apartamento",2,"Jardim Tocantins",0,1,1,58.96,0
450,509000,"Apartamento",3,"Vila Industrial",1,2,2,85,0
451,509000,"Apartamento",3,"Vila Industrial",1,2,2,85,0
452,390000,"Apartamento",2,"Vila Industrial",1,2,1,68,0
453,409000,"Apartamento",2,"Vila Industrial",1,2,1,68,0
454,409000,"Apartamento",2,"Vila Industrial",1,2,1,68,0
455,529000,"Apartamento",3,"Vila Industrial",1,2,2,85,0
456,390000,"Apartamento",2,"Vila Industrial",1,2,1,68,0
457,549000,"Apartamento",3,"Vila Industrial",1,2,2,85,0
458,419000,"Apartamento",2,"Vila Industrial",1,2,1,68,0
459,529000,"Apartamento",3,"Vila Industrial",1,2,2,85,0
460,559000,"Apartamento",3,"Vila Industrial",1,2,2,85,0
461,349000,"Apartamento",2,"Jardim Gisela",1,2,1,70,0
462,429000,"Apartamento",2,"Vila Industrial",1,2,1,68,0
463,419000,"Apartamento",2,"Vila Industrial",1,2,1,68,0
464,230000,"Casa",2,"São Francisco",1,2,1,55,150
465,250000,"Casa",2,"Vila Pioneiro",0,1,0,75.16,225
466,420000,"Casa",3,"Vila Pioneiro",1,2,1,105,275
467,495000,"Apartamento",3,"Jardim Pancera",1,3,2,85.08,0
468,320000,"Casa",3,"Jardim Europa",1,3,2,140,200
469,2600000,"Casa",4,"Vila Industrial",1,3,7,292.21,392
470,1000000,"Casa",2,"Jardim Pancera",1,2,4,183.79,360
471,250000,"Apartamento",2,"Centro",1,2,1,58.68,0
472,550000,"Casa",2,"Vila Industrial",0,2,2,362.6,172.48
473,370000,"Apartamento",2,"Biopark",1,2,1,40.7,0
474,349000,"Apartamento",2,"Jardim Gisela",1,2,1,70,0
475,260000,"Casa",3,"Jardim Coopagro",0,1,1,64.88,125
476,375000,"Casa",3,"Jardim Concórdia",1,2,1,76,168
477,1000000,"Casa",3,"Jardim Pancera",1,3,3,160,429.12
478,349000,"Apartamento",2,"Jardim Gisela",1,2,1,70,0
479,230000,"Casa",2,"São Francisco",1,2,1,55,150
480,275000,"Casa",3,"Jardim Panorama",0,1,1,70.32,135
481,180000,"Apartamento",2,"Centro",0,1,1,54.27,0
482,420000,"Casa",3,"Jardim Concórdia",1,2,1,106.32,188.5
483,450000,"Apartamento",2,"Vila Industrial",1,2,2,93.07,0
484,540000,"Casa",3,"Jardim Pancera",1,2,1,106,180
485,460000,"Casa",4,"Vila Pioneiro",0,2,0,170,355.9
486,420000,"Casa",3,"Jardim Concórdia",1,2,1,105.42,188.5
487,580000,"Casa",3,"Jardim Pancera",1,2,1,106,180
488,280000,"Casa",5,"Vila Pioneiro",1,3,0,200,301.95
489,420000,"Casa",3,"Jardim Concórdia",1,2,1,106.04,188.5
490,228000,"Apartamento",2,"Jardim Pancera",0,1,1,58.6,0
491,1700000,"Apartamento",3,"Vila Industrial",1,3,1,344.33,0
492,1600000,"Casa",3,"Jardim Gisela",1,3,5,276.35,479
493,650000,"Casa",3,"Jardim Coopagro",0,1,1,265,280.12
494,249000,"Casa",2,"Jardim Coopagro",1,2,2,54,125
495,220000,"Apartamento",2,"Jardim Porto Alegre",0,1,1,55.48,0
496,850000,"Casa",3,"Centro",1,2,2,172.27,190
497,225000,"Casa",2,"Jardim Panorama",1,2,1,65.4,125
498,240000,"Casa",3,"Jardim Panorama",0,1,1,70.32,135
499,850000,"Casa",3,"Centro",1,2,2,172.09,190
500,244000,"Casa",2,"Jardim Coopagro",1,2,2,54,125
501,350000,"Apartamento",2,"Jardim Gisela",0,1,1,75,0
502,200000,"Apartamento",2,"Jardim Coopagro",0,1,1,55.19,0
503,395000,"Casa",2,"Vila Industrial",1,2,1,63.22,125
504,225000,"Casa",2,"Jardim Panorama",1,2,1,65.4,125
505,375000,"Casa",2,"Vila Industrial",1,2,1,65.4,97
506,1300000,"Casa",3,"Jardim La Salle",1,2,1,219,560
507,140000,"Apartamento",2,"São Francisco",0,1,1,66.73,0
508,870000,"Casa",4,"Jardim Pancera",1,3,1,213.85,360
509,471800,"Apartamento",2,"Jardim La Salle",1,2,1,73,0
510,477500,"Apartamento",2,"Jardim La Salle",1,2,1,73,0
511,420000,"Apartamento",4,"Jardim La Salle",1,3,1,104.76,0
512,460970,"Apartamento",2,"Jardim La Salle",1,2,1,73,0
513,494600,"Apartamento",2,"Jardim La Salle",1,2,1,73,0
514,483200,"Apartamento",2,"Jardim La Salle",1,2,1,73,0
515,477500,"Apartamento",2,"Jardim La Salle",1,2,1,73,0
516,471800,"Apartamento",2,"Jardim La Salle",1,2,1,73,0
517,494600,"Apartamento",2,"Jardim La Salle",1,2,1,73,0
518,506000,"Apartamento",2,"Jardim La Salle",1,2,1,73,0
519,522000,"Apartamento",2,"Vila Industrial",1,2,1,84,0
520,600000,"Casa",3,"Vila Becker",0,1,1,119.25,490
521,510000,"Apartamento",2,"Vila Industrial",1,2,1,84,0
